250	套用未完成。冇嘗試自動覆寫。
251	自動偵測
252	自動偵測，可信度：{0}
253	{0} — 自動偵測分隔符號嘅結果唔可靠；請手動選擇。
254	自動偵測
255	候選分隔符號評分
256	{0} 個儲存格 / {1} 列（+{2} / -{3}）
257	字元
258	{0} 個字元 / {1} 個編輯器位元組
259	請喺上面嘅分隔符號清單揀逗號、分號或者定位字元。
260	請明確指定第一筆邏輯記錄係咪標頭
261	清除
262	清除目前嘅搜尋篩選同只影響檢視嘅排序
263	代碼
264	 - {0} 個欄位條件（{1}），{2} 層排序
265	{0} — {1} × {2} 欄 — {3}、{4} — {5} — {6}{7}{8}{9}。
266	逗號 (,)
267	逗號
268	可信度
269	喺等候套用嘅編輯工作階段刪除所有已選取、以固定識別碼識別嘅資料列
270	刪除列
271	刪除列（{0}）
272	喺等候套用嘅編輯工作階段刪除已選取、以固定識別碼識別嘅資料列
273	喺等候套用嘅編輯工作階段刪除已選取、以固定識別碼識別嘅一列或多列資料
274	分隔符號：
275	診斷（{0}）
276	捨棄所有等候套用嘅儲存格修改、插入同刪除
277	文件
278	 — 編輯模式：{0} 個儲存格、{1} 列，+{2} / -{3}
279	 - 編輯模式
280	編輯模式有等候套用嘅修改。離開之前，請先套用或者還原全部。
281	目前嘅表格未能使用編輯模式。請先處理 CSV 解析錯誤或者顯示限制。
282	目前只顯示部分資料列，唔可以開始編輯。
283	解析後嘅 CSV 有錯誤，唔可以開始編輯。
284	目前嘅表格唔可以編輯。
285	{0} — 編輯器緩衝區係空白；冇 CSV 記錄可以顯示。
286	進入儲存格同列嘅編輯模式
287	進入儲存格同列嘅編輯模式。套用只會寫入編輯器緩衝區。
288	進入儲存格同列嘅編輯模式。完整編輯模型只會喺需要時建立。
289	{0} 個錯誤、{1} 個警告
290	第一列作為標頭
291	第一列係標頭
292	標頭：
293	喺選取列之後插入新列；如果冇選取列，就加喺最後
294	{0} — 正喺背景載入 CSV 資料；Notepad++ 仍然可以操作。
295	手動選擇
296	已顯示嘅 {1} 列之中，有 {0} 列符合條件
297	訊息
298	已經喺等候套用嘅工作階段移除 {0} 列新插入嘅資料。
299	冇診斷資料可以顯示。
300	冇標頭列
301	冇標頭列
302	冇符合條件嘅列。\n請試吓其他搜尋文字或者欄位。
303	冇解析診斷資料
304	未能安全揀選可靠嘅分隔符號。
305	冇修改可以套用：編輯工作階段冇等候套用嘅修改。
306	正喺背景解析並準備有大小限制嘅視覺化表格…
307	等候套用嘅儲存格同列結構修改
308	等候套用嘅插入列 {0}；尚未套用
309	{0} 列等候套用資料
310	外掛已經就緒。正喺讀取目前編輯器緩衝區…
311	正喺準備完整編輯工作階段…
312	屬性
313	讀取並顯示目前使用中嘅 Notepad++ 編輯器緩衝區
314	記錄
315	還原全部
316	{0} 列
317	分號 (;)
318	分號
319	嚴重程度
320	顯示詳細嘅解析同分隔符號診斷資料
321	顯示 {1} 列之中嘅 {0} 列
322	快照
323	快照錯誤
324	第 {0} 層排序：{1}、{2}。只影響檢視。
325	 — 按 {0} {1} 排序
326	來源邏輯記錄 {0}
327	來源邏輯記錄 {0}；已喺等候套用嘅編輯工作階段修改
328	{0} 列來源資料已標記刪除，另外有 {1} 列插入資料已喺等候套用嘅工作階段移除。
329	{0} 列來源資料已標記刪除。套用會寫入呢批修改；還原全部會還原每一列。
330	狀態
331	定位字元
332	定位字元
333	表格錯誤
334	目前儲存格嘅編輯未能確認。加入新列之前，請先修正個值。
335	目前儲存格嘅編輯未能確認。刪除列之前，請先修正個值。
336	目前儲存格嘅編輯未能確認。套用之前，請先修正個值。
337	新插入嘅列已經喺等候套用嘅工作階段移除。
338	未設定列指示欄。
339	選取嘅列集合對呢個編輯工作階段已經無效。冇刪除任何列。
340	選取嘅列之前已經刪除。冇再作其他修改。
341	來源列已標記刪除。套用會寫入刪除操作；還原全部會還原呢一列。
342	未能建立視覺化表格。編輯器內容冇改變。
343	使用可靠嘅自動偵測，或者明確揀選分隔符號
344	正喺等候目前使用中嘅 Notepad++ 文件。
345	{0} - {1} x {2:N0} 欄
346	接受修改
347	之後
348	所有資料儲存格
349	之前
350	CSV 欄位
351	請揀選操作同範圍，然後撳「預覽」。
352	目前欄位
353	尋找：
354	小寫
355	操作：
356	其他空白字元會用跳脫表示法顯示；長度以 UTF-16 單位計算。長數值會縮短顯示。
357	未能建立預覽。請檢查範圍同搜尋文字，或者揀選較細嘅範圍（最多 250,000 個儲存格 / 16 Mi 個字元）。
358	請先預覽。接受修改只會更新等候套用嘅編輯；工具列嘅「套用」先會寫入 Notepad++。\n當標頭設定為第一筆記錄，標頭唔會受到影響。大小寫轉換同介面語言無關。
359	記錄識別碼
360	取代文字（字面匹配）
361	取代為：
362	範圍：
363	請揀選一個 CSV 資料欄。
364	選取嘅儲存格 / 列
365	實心橙點代表空格。
366	空格標記已隱藏。
367	{0:N0} 個目標儲存格；{2:N0} 列之中有 {1:N0} 項修改。顯示頭 50 項修改；
368	編輯工作階段已經改變。
369	預覽已經無效。請檢查編輯工作階段，再建立預覽。
370	轉換 CSV 儲存格
371	已喺等候套用嘅編輯工作階段轉換 {0:N0} 個儲存格。用「套用」更新 Notepad++，或者用「還原全部」捨棄等候套用嘅修改。
372	移除頭尾空白字元
373	大寫
374	重設檢視
375	顯示空格
